totalPitchingCount,B,S,O,b1,b2,b3,pitcher,pitcherHand,batter,batterHand,pitchType,speed,ballX,ballY,y,inning_number,inning_tb,batter_isPitcher,ballWidthLabel,ballHeightLabel,pitch_category,bottomTeam,topTeam,place,minute,hour,day,month,year,day_of_week,day_of_year,pitcher_order,batter_order
4,1,2,1,True,False,False,今永 昇太,1,西川 龍馬,1,ストレート,150.0,20,7,0,1,0,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,3
5,2,2,1,True,False,False,今永 昇太,1,西川 龍馬,1,ストレート,150.0,17,3,0,1,0,0,3,2,0,7,4,10,0,18,19,6,2020,4,171,1,3
6,2,2,1,True,False,False,今永 昇太,1,西川 龍馬,1,スライダー,136.0,15,5,0,1,0,0,3,1,1,7,4,10,0,18,19,6,2020,4,171,1,3
1,0,0,2,True,False,False,今永 昇太,1,鈴木 誠也,0,カーブ,122.0,13,5,0,1,0,0,2,1,1,7,4,10,0,18,19,6,2020,4,171,1,4
2,0,1,2,True,False,False,今永 昇太,1,鈴木 誠也,0,チェンジアップ,138.0,4,10,0,1,0,0,3,0,2,7,4,10,0,18,19,6,2020,4,171,1,4
3,1,1,2,True,False,False,今永 昇太,1,鈴木 誠也,0,スライダー,137.0,9,1,0,1,0,0,2,2,1,7,4,10,0,18,19,6,2020,4,171,1,4
4,2,1,2,True,False,False,今永 昇太,1,鈴木 誠也,0,ストレート,150.0,14,7,0,1,0,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,4
5,2,2,2,True,False,False,今永 昇太,1,鈴木 誠也,0,チェンジアップ,138.0,1,8,0,1,0,0,3,0,2,7,4,10,0,18,19,6,2020,4,171,1,4
1,0,0,0,False,False,False,大瀬良 大地,0,梶谷 隆幸,1,シュート,138.0,12,8,0,1,1,0,2,0,0,7,4,10,0,18,19,6,2020,4,171,1,1
1,0,0,1,False,False,False,大瀬良 大地,0,乙坂 智,1,ストレート,145.0,16,10,0,1,1,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,2
1,0,0,2,False,False,False,大瀬良 大地,0,ソト,0,ストレート,145.0,1,6,0,1,1,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,3
2,1,0,2,False,False,False,大瀬良 大地,0,ソト,0,カーブ,116.0,7,10,0,1,1,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,3
3,2,0,2,False,False,False,大瀬良 大地,0,ソト,0,カットファストボール,139.0,20,3,0,1,1,0,1,2,0,7,4,10,0,18,19,6,2020,4,171,1,3
4,3,0,2,False,False,False,大瀬良 大地,0,ソト,0,ストレート,146.0,15,5,0,1,1,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,3
5,3,1,2,False,False,False,大瀬良 大地,0,ソト,0,カットファストボール,136.0,6,6,0,1,1,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,3
1,0,0,0,False,False,False,今永 昇太,1,メヒア,0,スライダー,142.0,21,7,0,2,0,0,1,0,1,7,4,10,0,18,19,6,2020,4,171,1,5
2,0,1,0,False,False,False,今永 昇太,1,メヒア,0,ストレート,149.0,19,4,1,2,0,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,5
1,0,0,0,True,False,False,今永 昇太,1,會澤 翼,0,スライダー,130.0,12,3,0,2,0,0,2,2,1,7,4,10,0,18,19,6,2020,4,171,1,6
2,0,1,0,True,False,False,今永 昇太,1,會澤 翼,0,チェンジアップ,137.0,7,10,0,2,0,0,3,0,2,7,4,10,0,18,19,6,2020,4,171,1,6
3,1,1,0,True,False,False,今永 昇太,1,會澤 翼,0,チェンジアップ,136.0,1,4,0,2,0,0,3,1,2,7,4,10,0,18,19,6,2020,4,171,1,6
4,2,1,0,True,False,False,今永 昇太,1,會澤 翼,0,スライダー,136.0,18,5,0,2,0,0,1,1,1,7,4,10,0,18,19,6,2020,4,171,1,6
5,3,1,0,True,False,False,今永 昇太,1,會澤 翼,0,スライダー,138.0,3,4,0,2,0,0,3,1,1,7,4,10,0,18,19,6,2020,4,171,1,6
6,3,2,0,True,False,False,今永 昇太,1,會澤 翼,0,ストレート,149.0,19,4,0,2,0,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,6
7,3,2,0,True,False,False,今永 昇太,1,會澤 翼,0,ストレート,148.0,10,5,0,2,0,0,2,1,0,7,4,10,0,18,19,6,2020,4,171,1,6
1,0,0,1,False,True,False,今永 昇太,1,堂林 翔太,0,スライダー,139.0,1,4,0,2,0,0,3,1,1,7,4,10,0,18,19,6,2020,4,171,1,7
2,1,0,1,False,True,False,今永 昇太,1,堂林 翔太,0,チェンジアップ,135.0,6,5,0,2,0,0,3,1,2,7,4,10,0,18,19,6,2020,4,171,1,7
3,1,1,1,False,True,False,今永 昇太,1,堂林 翔太,0,ストレート,149.0,10,5,0,2,0,0,2,1,0,7,4,10,0,18,19,6,2020,4,171,1,7
4,1,2,1,False,True,False,今永 昇太,1,堂林 翔太,0,ストレート,149.0,19,4,0,2,0,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,7
5,1,2,1,False,True,False,今永 昇太,1,堂林 翔太,0,スライダー,138.0,20,6,0,2,0,0,1,1,1,7,4,10,0,18,19,6,2020,4,171,1,7
6,2,2,1,False,True,False,今永 昇太,1,堂林 翔太,0,ストレート,150.0,18,6,0,2,0,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,7
7,2,2,1,False,True,False,今永 昇太,1,堂林 翔太,0,チェンジアップ,137.0,7,5,0,2,0,0,3,1,2,7,4,10,0,18,19,6,2020,4,171,1,7
1,0,0,2,False,True,False,今永 昇太,1,田中 広輔,1,スライダー,141.0,21,9,0,2,0,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,8
2,1,0,2,False,True,False,今永 昇太,1,田中 広輔,1,スライダー,129.0,13,2,0,2,0,0,2,2,1,7,4,10,0,18,19,6,2020,4,171,1,8
3,1,1,2,False,True,False,今永 昇太,1,田中 広輔,1,スライダー,136.0,14,5,0,2,0,0,3,1,1,7,4,10,0,18,19,6,2020,4,171,1,8
4,1,2,2,False,True,False,今永 昇太,1,田中 広輔,1,スライダー,139.0,21,9,0,2,0,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,8
1,0,0,0,False,False,False,大瀬良 大地,0,佐野 恵太,1,カットファストボール,135.0,20,10,0,2,1,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,4
2,1,0,0,False,False,False,大瀬良 大地,0,佐野 恵太,1,スライダー,125.0,11,10,0,2,1,0,2,0,1,7,4,10,0,18,19,6,2020,4,171,1,4
3,1,1,0,False,False,False,大瀬良 大地,0,佐野 恵太,1,フォーク,133.0,21,6,0,2,1,0,3,1,2,7,4,10,0,18,19,6,2020,4,171,1,4
1,0,0,1,False,False,False,大瀬良 大地,0,ロペス,0,カーブ,114.0,1,10,0,2,1,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,5
2,1,0,1,False,False,False,大瀬良 大地,0,ロペス,0,スライダー,126.0,11,7,1,2,1,0,2,0,1,7,4,10,0,18,19,6,2020,4,171,1,5
1,0,0,1,False,False,False,大瀬良 大地,0,宮崎 敏郎,0,ストレート,143.0,21,4,0,2,1,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,6
2,1,0,1,False,False,False,大瀬良 大地,0,宮崎 敏郎,0,シュート,136.0,21,5,0,2,1,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,6
3,2,0,1,False,False,False,大瀬良 大地,0,宮崎 敏郎,0,ストレート,145.0,18,4,0,2,1,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,6
1,0,0,2,False,False,False,大瀬良 大地,0,伊藤 光,0,シュート,139.0,20,10,0,2,1,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,7
2,1,0,2,False,False,False,大瀬良 大地,0,伊藤 光,0,ストレート,144.0,9,7,0,2,1,0,2,0,0,7,4,10,0,18,19,6,2020,4,171,1,7
1,0,0,0,False,False,False,今永 昇太,1,大瀬良 大地,0,ストレート,146.0,20,5,0,3,0,1,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,9
2,0,1,0,False,False,False,今永 昇太,1,大瀬良 大地,0,カーブ,122.0,13,10,0,3,0,1,2,0,1,7,4,10,0,18,19,6,2020,4,171,1,9
3,1,1,0,False,False,False,今永 昇太,1,大瀬良 大地,0,ストレート,147.0,6,5,0,3,0,1,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,9
1,0,0,1,False,False,False,今永 昇太,1,ピレラ,0,ストレート,148.0,10,4,0,3,0,0,2,1,0,7,4,10,0,18,19,6,2020,4,171,1,1
2,1,0,1,False,False,False,今永 昇太,1,ピレラ,0,スライダー,140.0,2,8,0,3,0,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,1
3,2,0,1,False,False,False,今永 昇太,1,ピレラ,0,スライダー,137.0,14,3,0,3,0,0,1,2,1,7,4,10,0,18,19,6,2020,4,171,1,1
4,3,0,1,False,False,False,今永 昇太,1,ピレラ,0,ストレート,148.0,12,6,0,3,0,0,2,1,0,7,4,10,0,18,19,6,2020,4,171,1,1
5,3,1,1,False,False,False,今永 昇太,1,ピレラ,0,ストレート,148.0,14,6,0,3,0,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,1
6,3,2,1,False,False,False,今永 昇太,1,ピレラ,0,チェンジアップ,136.0,14,10,0,3,0,0,1,0,2,7,4,10,0,18,19,6,2020,4,171,1,1
7,3,2,1,False,False,False,今永 昇太,1,ピレラ,0,ストレート,148.0,18,3,0,3,0,0,1,2,0,7,4,10,0,18,19,6,2020,4,171,1,1
1,0,0,2,False,False,False,今永 昇太,1,菊池 涼介,0,ストレート,147.0,6,4,0,3,0,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,2
2,0,1,2,False,False,False,今永 昇太,1,菊池 涼介,0,ストレート,149.0,1,5,0,3,0,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,2
3,1,1,2,False,False,False,今永 昇太,1,菊池 涼介,0,チェンジアップ,135.0,1,10,0,3,0,0,3,0,2,7,4,10,0,18,19,6,2020,4,171,1,2
4,2,1,2,False,False,False,今永 昇太,1,菊池 涼介,0,チェンジアップ,135.0,11,6,0,3,0,0,2,1,2,7,4,10,0,18,19,6,2020,4,171,1,2
5,2,2,2,False,False,False,今永 昇太,1,菊池 涼介,0,スライダー,140.0,12,6,0,3,0,0,2,1,1,7,4,10,0,18,19,6,2020,4,171,1,2
6,2,2,2,False,False,False,今永 昇太,1,菊池 涼介,0,カーブ,122.0,12,9,0,3,0,0,2,0,1,7,4,10,0,18,19,6,2020,4,171,1,2
7,2,2,2,False,False,False,今永 昇太,1,菊池 涼介,0,チェンジアップ,136.0,12,10,0,3,0,0,2,0,2,7,4,10,0,18,19,6,2020,4,171,1,2
8,2,2,2,False,False,False,今永 昇太,1,菊池 涼介,0,スライダー,127.0,6,5,0,3,0,0,3,1,1,7,4,10,0,18,19,6,2020,4,171,1,2
9,2,2,2,False,False,False,今永 昇太,1,菊池 涼介,0,ストレート,148.0,12,4,0,3,0,0,2,1,0,7,4,10,0,18,19,6,2020,4,171,1,2
1,0,0,0,False,False,False,大瀬良 大地,0,今永 昇太,1,ストレート,144.0,19,10,0,3,1,1,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,8
2,1,0,0,False,False,False,大瀬良 大地,0,今永 昇太,1,ストレート,144.0,10,4,0,3,1,1,2,1,0,7,4,10,0,18,19,6,2020,4,171,1,8
3,1,1,0,False,False,False,大瀬良 大地,0,今永 昇太,1,ストレート,145.0,6,6,0,3,1,1,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,8
4,1,2,0,False,False,False,大瀬良 大地,0,今永 昇太,1,ストレート,146.0,18,4,0,3,1,1,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,8
5,1,2,0,False,False,False,大瀬良 大地,0,今永 昇太,1,カーブ,117.0,17,8,0,3,1,1,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,8
1,0,0,1,False,False,False,大瀬良 大地,0,大和,0,スライダー,125.0,6,8,0,3,1,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,9
2,0,1,1,False,False,False,大瀬良 大地,0,大和,0,シュート,136.0,20,6,0,3,1,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,9
3,0,2,1,False,False,False,大瀬良 大地,0,大和,0,ストレート,145.0,12,8,0,3,1,0,2,0,0,7,4,10,0,18,19,6,2020,4,171,1,9
1,0,0,2,False,False,False,大瀬良 大地,0,梶谷 隆幸,1,カーブ,118.0,14,7,0,3,1,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,1
2,0,1,2,False,False,False,大瀬良 大地,0,梶谷 隆幸,1,カットファストボール,138.0,5,5,0,3,1,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,1
3,0,2,2,False,False,False,大瀬良 大地,0,梶谷 隆幸,1,カットファストボール,138.0,20,10,0,3,1,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,1
4,1,2,2,False,False,False,大瀬良 大地,0,梶谷 隆幸,1,ストレート,145.0,18,9,0,3,1,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,1
5,2,2,2,False,False,False,大瀬良 大地,0,梶谷 隆幸,1,カットファストボール,140.0,1,10,0,3,1,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,1
1,0,0,0,False,False,False,今永 昇太,1,西川 龍馬,1,ストレート,146.0,19,5,0,4,0,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,3
2,0,1,0,False,False,False,今永 昇太,1,西川 龍馬,1,カーブ,123.0,20,10,0,4,0,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,3
3,0,2,0,False,False,False,今永 昇太,1,西川 龍馬,1,ストレート,147.0,21,10,0,4,0,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,3
4,1,2,0,False,False,False,今永 昇太,1,西川 龍馬,1,ストレート,147.0,5,7,0,4,0,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,3
1,0,0,1,False,False,False,今永 昇太,1,鈴木 誠也,0,スライダー,126.0,4,4,0,4,0,0,3,1,1,7,4,10,0,18,19,6,2020,4,171,1,4
2,0,1,1,False,False,False,今永 昇太,1,鈴木 誠也,0,ストレート,146.0,11,5,1,4,0,0,2,1,0,7,4,10,0,18,19,6,2020,4,171,1,4
1,0,0,1,False,False,True,今永 昇太,1,メヒア,0,ストレート,147.0,1,4,0,4,0,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,5
2,1,0,1,False,False,True,今永 昇太,1,メヒア,0,チェンジアップ,136.0,6,10,0,4,0,0,3,0,2,7,4,10,0,18,19,6,2020,4,171,1,5
3,1,1,1,False,False,True,今永 昇太,1,メヒア,0,ストレート,148.0,1,5,0,4,0,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,5
4,2,1,1,False,False,True,今永 昇太,1,メヒア,0,スライダー,140.0,15,5,0,4,0,0,1,1,1,7,4,10,0,18,19,6,2020,4,171,1,5
1,0,0,2,False,False,True,今永 昇太,1,會澤 翼,0,スライダー,141.0,17,5,0,4,0,0,1,1,1,7,4,10,0,18,19,6,2020,4,171,1,6
1,0,0,0,False,False,False,大瀬良 大地,0,乙坂 智,1,シュート,137.0,18,7,0,4,1,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,2
2,0,1,0,False,False,False,大瀬良 大地,0,乙坂 智,1,フォーク,135.0,15,10,0,4,1,0,3,0,2,7,4,10,0,18,19,6,2020,4,171,1,2
1,0,0,1,False,False,False,大瀬良 大地,0,ソト,0,シュート,138.0,21,5,0,4,1,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,3
2,1,0,1,False,False,False,大瀬良 大地,0,ソト,0,カーブ,116.0,11,8,0,4,1,0,2,0,1,7,4,10,0,18,19,6,2020,4,171,1,3
1,0,0,2,False,False,False,大瀬良 大地,0,佐野 恵太,1,カットファストボール,136.0,18,10,0,4,1,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,4
2,1,0,2,False,False,False,大瀬良 大地,0,佐野 恵太,1,シュート,139.0,21,4,0,4,1,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,4
3,2,0,2,False,False,False,大瀬良 大地,0,佐野 恵太,1,カットファストボール,137.0,3,10,0,4,1,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,4
4,3,0,2,False,False,False,大瀬良 大地,0,佐野 恵太,1,シュート,140.0,21,5,0,4,1,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,4
5,3,1,2,False,False,False,大瀬良 大地,0,佐野 恵太,1,カーブ,117.0,21,4,0,4,1,0,3,1,1,7,4,10,0,18,19,6,2020,4,171,1,4
6,3,2,2,False,False,False,大瀬良 大地,0,佐野 恵太,1,ストレート,148.0,4,5,0,4,1,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,4
1,0,0,0,False,False,False,今永 昇太,1,堂林 翔太,0,チェンジアップ,133.0,1,5,0,5,0,0,3,1,2,7,4,10,0,18,19,6,2020,4,171,1,7
2,1,0,0,False,False,False,今永 昇太,1,堂林 翔太,0,スライダー,138.0,14,6,0,5,0,0,1,1,1,7,4,10,0,18,19,6,2020,4,171,1,7
1,0,0,1,False,False,False,今永 昇太,1,田中 広輔,1,ストレート,147.0,18,8,0,5,0,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,8
2,0,1,1,False,False,False,今永 昇太,1,田中 広輔,1,ストレート,146.0,12,6,1,5,0,0,2,1,0,7,4,10,0,18,19,6,2020,4,171,1,8
1,0,0,1,False,False,True,今永 昇太,1,大瀬良 大地,0,ストレート,146.0,14,7,1,5,0,1,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,9
1,0,0,1,True,False,False,今永 昇太,1,ピレラ,0,スライダー,139.0,21,5,0,5,0,0,1,1,1,7,4,10,0,18,19,6,2020,4,171,1,1
2,0,1,1,True,False,False,今永 昇太,1,ピレラ,0,チェンジアップ,133.0,1,8,0,5,0,0,3,0,2,7,4,10,0,18,19,6,2020,4,171,1,1
3,1,1,1,True,False,False,今永 昇太,1,ピレラ,0,チェンジアップ,134.0,4,4,0,5,0,0,3,1,2,7,4,10,0,18,19,6,2020,4,171,1,1
4,2,1,1,True,False,False,今永 昇太,1,ピレラ,0,スライダー,137.0,14,10,0,5,0,0,1,0,1,7,4,10,0,18,19,6,2020,4,171,1,1
5,2,2,1,True,False,False,今永 昇太,1,ピレラ,0,ストレート,145.0,21,5,0,5,0,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,1
6,3,2,1,True,False,False,今永 昇太,1,ピレラ,0,チェンジアップ,133.0,7,5,1,5,0,0,3,1,2,7,4,10,0,18,19,6,2020,4,171,1,1
1,0,0,1,True,True,False,今永 昇太,1,菊池 涼介,0,スライダー,126.0,11,4,0,5,0,0,2,1,1,7,4,10,0,18,19,6,2020,4,171,1,2
2,0,1,1,True,True,False,今永 昇太,1,菊池 涼介,0,スライダー,133.0,2,5,0,5,0,0,3,1,1,7,4,10,0,18,19,6,2020,4,171,1,2
3,0,2,1,True,True,False,今永 昇太,1,菊池 涼介,0,ストレート,144.0,11,0,0,5,0,0,2,2,0,7,4,10,0,18,19,6,2020,4,171,1,2
4,0,2,1,True,True,False,今永 昇太,1,菊池 涼介,0,スライダー,135.0,20,7,0,5,0,0,1,0,1,7,4,10,0,18,19,6,2020,4,171,1,2
1,0,0,2,True,True,False,今永 昇太,1,西川 龍馬,1,スライダー,128.0,12,3,0,5,0,0,2,2,1,7,4,10,0,18,19,6,2020,4,171,1,3
2,1,0,2,True,True,False,今永 昇太,1,西川 龍馬,1,スライダー,133.0,3,1,0,5,0,0,1,2,1,7,4,10,0,18,19,6,2020,4,171,1,3
3,2,0,2,True,True,False,今永 昇太,1,西川 龍馬,1,スライダー,136.0,20,10,0,5,0,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,3
4,3,0,2,True,True,False,今永 昇太,1,西川 龍馬,1,ストレート,142.0,16,5,0,5,0,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,1,3
5,3,1,2,True,True,False,今永 昇太,1,西川 龍馬,1,スライダー,136.0,13,5,1,5,0,0,2,1,1,7,4,10,0,18,19,6,2020,4,171,1,3
1,0,0,2,False,True,True,今永 昇太,1,鈴木 誠也,0,スライダー,127.0,2,5,0,5,0,0,3,1,1,7,4,10,0,18,19,6,2020,4,171,1,4
2,0,1,2,False,True,True,今永 昇太,1,鈴木 誠也,0,スライダー,135.0,19,3,0,5,0,0,1,2,1,7,4,10,0,18,19,6,2020,4,171,1,4
3,1,1,2,False,True,True,今永 昇太,1,鈴木 誠也,0,スライダー,136.0,21,5,0,5,0,0,1,1,1,7,4,10,0,18,19,6,2020,4,171,1,4
4,1,2,2,False,True,True,今永 昇太,1,鈴木 誠也,0,チェンジアップ,132.0,6,2,0,5,0,0,3,2,2,7,4,10,0,18,19,6,2020,4,171,1,4
5,2,2,2,False,True,True,今永 昇太,1,鈴木 誠也,0,ストレート,144.0,14,8,0,5,0,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,4
1,0,0,0,False,False,False,大瀬良 大地,0,ロペス,0,カットファストボール,138.0,3,10,0,5,1,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,5
2,0,1,0,False,False,False,大瀬良 大地,0,ロペス,0,シュート,138.0,12,10,0,5,1,0,2,0,0,7,4,10,0,18,19,6,2020,4,171,1,5
3,1,1,0,False,False,False,大瀬良 大地,0,ロペス,0,ストレート,144.0,6,8,0,5,1,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,1,5
4,1,2,0,False,False,False,大瀬良 大地,0,ロペス,0,ストレート,143.0,14,8,0,5,1,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,5
1,0,0,1,False,False,False,大瀬良 大地,0,宮崎 敏郎,0,カーブ,116.0,18,2,0,5,1,0,1,2,1,7,4,10,0,18,19,6,2020,4,171,1,6
2,1,0,1,False,False,False,大瀬良 大地,0,宮崎 敏郎,0,ストレート,146.0,12,6,0,5,1,0,2,1,0,7,4,10,0,18,19,6,2020,4,171,1,6
1,0,0,2,False,False,False,大瀬良 大地,0,伊藤 光,0,ストレート,144.0,15,10,0,5,1,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,7
2,1,0,2,False,False,False,大瀬良 大地,0,伊藤 光,0,カットファストボール,136.0,9,3,0,5,1,0,2,2,0,7,4,10,0,18,19,6,2020,4,171,1,7
3,1,1,2,False,False,False,大瀬良 大地,0,伊藤 光,0,シュート,138.0,14,8,0,5,1,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,7
4,1,2,2,False,False,False,大瀬良 大地,0,伊藤 光,0,ストレート,143.0,10,10,0,5,1,0,2,0,0,7,4,10,0,18,19,6,2020,4,171,1,7
5,2,2,2,False,False,False,大瀬良 大地,0,伊藤 光,0,カーブ,118.0,7,10,0,5,1,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,1,7
6,3,2,2,False,False,False,大瀬良 大地,0,伊藤 光,0,シュート,137.0,21,1,0,5,1,0,1,2,0,7,4,10,0,18,19,6,2020,4,171,1,7
1,0,0,0,False,False,False,平田 真吾,0,メヒア,0,スライダー,132.0,1,9,0,6,0,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,2,5
2,0,1,0,False,False,False,平田 真吾,0,メヒア,0,ストレート,144.0,12,8,0,6,0,0,2,0,0,7,4,10,0,18,19,6,2020,4,171,2,5
3,0,2,0,False,False,False,平田 真吾,0,メヒア,0,スライダー,129.0,15,8,0,6,0,0,1,0,1,7,4,10,0,18,19,6,2020,4,171,2,5
4,0,2,0,False,False,False,平田 真吾,0,メヒア,0,フォーク,134.0,7,10,0,6,0,0,3,0,2,7,4,10,0,18,19,6,2020,4,171,2,5
5,0,2,0,False,False,False,平田 真吾,0,メヒア,0,スライダー,132.0,12,5,0,6,0,0,2,1,1,7,4,10,0,18,19,6,2020,4,171,2,5
6,0,2,0,False,False,False,平田 真吾,0,メヒア,0,ストレート,147.0,1,4,0,6,0,0,3,1,0,7,4,10,0,18,19,6,2020,4,171,2,5
7,1,2,0,False,False,False,平田 真吾,0,メヒア,0,フォーク,137.0,11,10,0,6,0,0,2,0,2,7,4,10,0,18,19,6,2020,4,171,2,5
1,0,0,1,False,False,False,平田 真吾,0,會澤 翼,0,カーブ,109.0,21,0,0,6,0,0,1,2,1,7,4,10,0,18,19,6,2020,4,171,2,6
2,1,0,1,False,False,False,平田 真吾,0,會澤 翼,0,スライダー,129.0,14,5,0,6,0,0,1,1,1,7,4,10,0,18,19,6,2020,4,171,2,6
3,1,1,1,False,False,False,平田 真吾,0,會澤 翼,0,ストレート,145.0,2,10,0,6,0,0,3,0,0,7,4,10,0,18,19,6,2020,4,171,2,6
4,2,1,1,False,False,False,平田 真吾,0,會澤 翼,0,スライダー,129.0,21,8,0,6,0,0,1,0,1,7,4,10,0,18,19,6,2020,4,171,2,6
1,0,0,2,False,False,False,平田 真吾,0,堂林 翔太,0,スライダー,130.0,7,10,0,6,0,0,3,0,1,7,4,10,0,18,19,6,2020,4,171,2,7
2,1,0,2,False,False,False,平田 真吾,0,堂林 翔太,0,スライダー,132.0,6,2,0,6,0,0,3,2,1,7,4,10,0,18,19,6,2020,4,171,2,7
3,2,0,2,False,False,False,平田 真吾,0,堂林 翔太,0,スライダー,128.0,19,9,0,6,0,0,1,0,1,7,4,10,0,18,19,6,2020,4,171,2,7
4,3,0,2,False,False,False,平田 真吾,0,堂林 翔太,0,ストレート,147.0,13,5,0,6,0,0,2,1,0,7,4,10,0,18,19,6,2020,4,171,2,7
