id,totalPitchingCount,B,S,O,b1,b2,b3,pitcher,pitcherHand,batter,batterHand,gameID,inning,pitchType,speed,ballPositionLabel,ballX,ballY,dir,dist,battingType,isOuts,y
59,2,1,0,1,False,False,False,今永 昇太,L,ピレラ,R,20202173,3回表,スライダー,140km/h,外角低め,2,I,,,,,0
60,3,2,0,1,False,False,False,今永 昇太,L,ピレラ,R,20202173,3回表,スライダー,137km/h,内角高め,14,D,,,,,0
61,4,3,0,1,False,False,False,今永 昇太,L,ピレラ,R,20202173,3回表,ストレート,148km/h,ど真ん中,12,G,,,,,1
62,5,3,1,1,False,False,False,今永 昇太,L,ピレラ,R,20202173,3回表,ストレート,148km/h,内角中心,14,G,,,,,1
63,6,3,2,1,False,False,False,今永 昇太,L,ピレラ,R,20202173,3回表,チェンジアップ,136km/h,内角低め,14,K,,,,,2
64,7,3,2,1,False,False,False,今永 昇太,L,ピレラ,R,20202173,3回表,ストレート,148km/h,内角高め,18,D,,0.0,,True,1
65,1,0,0,2,False,False,False,今永 昇太,L,菊池 涼介,R,20202173,3回表,ストレート,147km/h,外角中心,6,E,,,,,2
66,2,0,1,2,False,False,False,今永 昇太,L,菊池 涼介,R,20202173,3回表,ストレート,149km/h,外角中心,1,F,,,,,0
67,3,1,1,2,False,False,False,今永 昇太,L,菊池 涼介,R,20202173,3回表,チェンジアップ,135km/h,外角低め,1,K,,,,,0
68,4,2,1,2,False,False,False,今永 昇太,L,菊池 涼介,R,20202173,3回表,チェンジアップ,135km/h,ど真ん中,11,G,,,,,2
69,5,2,2,2,False,False,False,今永 昇太,L,菊池 涼介,R,20202173,3回表,スライダー,140km/h,ど真ん中,12,G,,,,,2
70,6,2,2,2,False,False,False,今永 昇太,L,菊池 涼介,R,20202173,3回表,カーブ,122km/h,真ん中低め,12,J,,,,,2
71,7,2,2,2,False,False,False,今永 昇太,L,菊池 涼介,R,20202173,3回表,チェンジアップ,136km/h,真ん中低め,12,K,,,,,2
72,8,2,2,2,False,False,False,今永 昇太,L,菊池 涼介,R,20202173,3回表,スライダー,127km/h,外角中心,6,F,,,,,2
73,9,2,2,2,False,False,False,今永 昇太,L,菊池 涼介,R,20202173,3回表,ストレート,148km/h,ど真ん中,12,E,I,38.6,G,True,3
74,1,0,0,0,False,False,False,大瀬良 大地,R,今永 昇太,L,20202173,3回裏,ストレート,144km/h,外角低め,19,K,,,,,0
75,2,1,0,0,False,False,False,大瀬良 大地,R,今永 昇太,L,20202173,3回裏,ストレート,144km/h,ど真ん中,10,E,,,,,1
76,3,1,1,0,False,False,False,大瀬良 大地,R,今永 昇太,L,20202173,3回裏,ストレート,145km/h,内角中心,6,G,,,,,1
77,4,1,2,0,False,False,False,大瀬良 大地,R,今永 昇太,L,20202173,3回裏,ストレート,146km/h,外角中心,18,E,,,,,2
78,5,1,2,0,False,False,False,大瀬良 大地,R,今永 昇太,L,20202173,3回裏,カーブ,117km/h,外角低め,17,I,K,37.8,G,True,3
79,1,0,0,1,False,False,False,大瀬良 大地,R,大和,R,20202173,3回裏,スライダー,125km/h,外角低め,6,I,,,,,1
80,2,0,1,1,False,False,False,大瀬良 大地,R,大和,R,20202173,3回裏,シュート,136km/h,内角中心,20,G,,,,,2
81,3,0,2,1,False,False,False,大瀬良 大地,R,大和,R,20202173,3回裏,ストレート,145km/h,真ん中低め,12,I,X,85.8,F,True,3
82,1,0,0,2,False,False,False,大瀬良 大地,R,梶谷 隆幸,L,20202173,3回裏,カーブ,118km/h,外角低め,14,H,,,,,1
83,2,0,1,2,False,False,False,大瀬良 大地,R,梶谷 隆幸,L,20202173,3回裏,カットファストボール,138km/h,内角中心,5,F,,,,,2
84,3,0,2,2,False,False,False,大瀬良 大地,R,梶谷 隆幸,L,20202173,3回裏,カットファストボール,138km/h,外角低め,20,K,,,,,0
85,4,1,2,2,False,False,False,大瀬良 大地,R,梶谷 隆幸,L,20202173,3回裏,ストレート,145km/h,外角低め,18,J,,,,,0
86,5,2,2,2,False,False,False,大瀬良 大地,R,梶谷 隆幸,L,20202173,3回裏,カットファストボール,140km/h,内角低め,1,K,,0.0,,True,1
87,1,0,0,0,False,False,False,今永 昇太,L,西川 龍馬,L,20202173,4回表,ストレート,146km/h,外角中心,19,F,,,,,2
88,2,0,1,0,False,False,False,今永 昇太,L,西川 龍馬,L,20202173,4回表,カーブ,123km/h,外角低め,20,K,,,,,1
89,3,0,2,0,False,False,False,今永 昇太,L,西川 龍馬,L,20202173,4回表,ストレート,147km/h,外角低め,21,K,,,,,0
90,4,1,2,0,False,False,False,今永 昇太,L,西川 龍馬,L,20202173,4回表,ストレート,147km/h,内角低め,5,H,S,39.6,G,True,3
91,1,0,0,1,False,False,False,今永 昇太,L,鈴木 誠也,R,20202173,4回表,スライダー,126km/h,外角中心,4,E,,,,,1
92,2,0,1,1,False,False,False,今永 昇太,L,鈴木 誠也,R,20202173,4回表,ストレート,146km/h,ど真ん中,11,F,K,115.1,F,False,6
93,1,0,0,1,False,False,True,今永 昇太,L,メヒア,R,20202173,4回表,ストレート,147km/h,外角中心,1,E,,,,,0
94,2,1,0,1,False,False,True,今永 昇太,L,メヒア,R,20202173,4回表,チェンジアップ,136km/h,外角低め,6,K,,,,,1
95,3,1,1,1,False,False,True,今永 昇太,L,メヒア,R,20202173,4回表,ストレート,148km/h,外角中心,1,F,,,,,0
96,4,2,1,1,False,False,True,今永 昇太,L,メヒア,R,20202173,4回表,スライダー,140km/h,内角中心,15,F,S,78.3,F,True,3
97,1,0,0,2,False,False,True,今永 昇太,L,會澤 翼,R,20202173,4回表,スライダー,141km/h,内角中心,17,F,E,33.1,L,True,3
98,1,0,0,0,False,False,False,大瀬良 大地,R,乙坂 智,L,20202173,4回裏,シュート,137km/h,外角低め,18,H,,,,,1
99,2,0,1,0,False,False,False,大瀬良 大地,R,乙坂 智,L,20202173,4回裏,フォーク,135km/h,外角低め,15,K,W,8.0,G,True,3
100,1,0,0,1,False,False,False,大瀬良 大地,R,ソト,R,20202173,4回裏,シュート,138km/h,内角中心,21,F,,,,,0
101,2,1,0,1,False,False,False,大瀬良 大地,R,ソト,R,20202173,4回裏,カーブ,116km/h,真ん中低め,11,I,Q,93.1,F,True,3
102,1,0,0,2,False,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,4回裏,カットファストボール,136km/h,外角低め,18,K,,,,,0
103,2,1,0,2,False,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,4回裏,シュート,139km/h,外角中心,21,E,,,,,0
104,3,2,0,2,False,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,4回裏,カットファストボール,137km/h,内角低め,3,K,,,,,0
105,4,3,0,2,False,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,4回裏,シュート,140km/h,外角中心,21,F,,,,,1
106,5,3,1,2,False,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,4回裏,カーブ,117km/h,外角中心,21,E,,,,,1
107,6,3,2,2,False,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,4回裏,ストレート,148km/h,内角中心,4,F,,0.0,,True,1
108,1,0,0,0,False,False,False,今永 昇太,L,堂林 翔太,R,20202173,5回表,チェンジアップ,133km/h,外角中心,1,F,,,,,0
109,2,1,0,0,False,False,False,今永 昇太,L,堂林 翔太,R,20202173,5回表,スライダー,138km/h,内角中心,14,G,J,39.1,G,True,3
110,1,0,0,1,False,False,False,今永 昇太,L,田中 広輔,L,20202173,5回表,ストレート,147km/h,外角低め,18,I,,,,,1
111,2,0,1,1,False,False,False,今永 昇太,L,田中 広輔,L,20202173,5回表,ストレート,146km/h,ど真ん中,12,G,I,107.9,F,False,6
112,1,0,0,1,False,False,True,今永 昇太,L,大瀬良 大地,R,20202173,5回表,ストレート,146km/h,内角低め,14,H,P,40.9,G,False,4
113,1,0,0,1,True,False,False,今永 昇太,L,ピレラ,R,20202173,5回表,スライダー,139km/h,内角中心,21,F,,,,,2
114,2,0,1,1,True,False,False,今永 昇太,L,ピレラ,R,20202173,5回表,チェンジアップ,133km/h,外角低め,1,I,,,,,0
115,3,1,1,1,True,False,False,今永 昇太,L,ピレラ,R,20202173,5回表,チェンジアップ,134km/h,外角中心,4,E,,,,,0
116,4,2,1,1,True,False,False,今永 昇太,L,ピレラ,R,20202173,5回表,スライダー,137km/h,内角低め,14,K,,,,,2
117,5,2,2,1,True,False,False,今永 昇太,L,ピレラ,R,20202173,5回表,ストレート,145km/h,内角中心,21,F,,,,,0
118,6,3,2,1,True,False,False,今永 昇太,L,ピレラ,R,20202173,5回表,チェンジアップ,133km/h,外角中心,7,F,G,39.0,G,False,4
119,1,0,0,1,True,True,False,今永 昇太,L,菊池 涼介,R,20202173,5回表,スライダー,126km/h,ど真ん中,11,E,,,,,2
120,2,0,1,1,True,True,False,今永 昇太,L,菊池 涼介,R,20202173,5回表,スライダー,133km/h,外角中心,2,F,,,,,2
121,3,0,2,1,True,True,False,今永 昇太,L,菊池 涼介,R,20202173,5回表,ストレート,144km/h,真ん中高め,11,A,,,,,2
122,4,0,2,1,True,True,False,今永 昇太,L,菊池 涼介,R,20202173,5回表,スライダー,135km/h,内角低め,20,H,,0.0,,True,1
123,1,0,0,2,True,True,False,今永 昇太,L,西川 龍馬,L,20202173,5回表,スライダー,128km/h,真ん中高め,12,D,,,,,0
124,2,1,0,2,True,True,False,今永 昇太,L,西川 龍馬,L,20202173,5回表,スライダー,133km/h,内角高め,3,B,,,,,0
125,3,2,0,2,True,True,False,今永 昇太,L,西川 龍馬,L,20202173,5回表,スライダー,136km/h,外角低め,20,K,,,,,0
126,4,3,0,2,True,True,False,今永 昇太,L,西川 龍馬,L,20202173,5回表,ストレート,142km/h,外角中心,16,F,,,,,1
127,5,3,1,2,True,True,False,今永 昇太,L,西川 龍馬,L,20202173,5回表,スライダー,136km/h,ど真ん中,13,F,W,54.8,L,False,5
128,1,0,0,2,False,True,True,今永 昇太,L,鈴木 誠也,R,20202173,5回表,スライダー,127km/h,外角中心,2,F,,,,,1
129,2,0,1,2,False,True,True,今永 昇太,L,鈴木 誠也,R,20202173,5回表,スライダー,135km/h,内角高め,19,D,,,,,0
130,3,1,1,2,False,True,True,今永 昇太,L,鈴木 誠也,R,20202173,5回表,スライダー,136km/h,内角中心,21,F,,,,,1
131,4,1,2,2,False,True,True,今永 昇太,L,鈴木 誠也,R,20202173,5回表,チェンジアップ,132km/h,外角高め,6,C,,,,,0
132,5,2,2,2,False,True,True,今永 昇太,L,鈴木 誠也,R,20202173,5回表,ストレート,144km/h,内角低め,14,I,U,83.1,F,True,3
133,1,0,0,0,False,False,False,大瀬良 大地,R,ロペス,R,20202173,5回裏,カットファストボール,138km/h,外角低め,3,K,,,,,1
134,2,0,1,0,False,False,False,大瀬良 大地,R,ロペス,R,20202173,5回裏,シュート,138km/h,真ん中低め,12,K,,,,,0
135,3,1,1,0,False,False,False,大瀬良 大地,R,ロペス,R,20202173,5回裏,ストレート,144km/h,外角低め,6,I,,,,,1
136,4,1,2,0,False,False,False,大瀬良 大地,R,ロペス,R,20202173,5回裏,ストレート,143km/h,内角低め,14,I,D,96.0,F,True,3
137,1,0,0,1,False,False,False,大瀬良 大地,R,宮崎 敏郎,R,20202173,5回裏,カーブ,116km/h,内角高め,18,C,,,,,0
138,2,1,0,1,False,False,False,大瀬良 大地,R,宮崎 敏郎,R,20202173,5回裏,ストレート,146km/h,ど真ん中,12,G,W,32.5,G,True,3
139,1,0,0,2,False,False,False,大瀬良 大地,R,伊藤 光,R,20202173,5回裏,ストレート,144km/h,内角低め,15,K,,,,,0
140,2,1,0,2,False,False,False,大瀬良 大地,R,伊藤 光,R,20202173,5回裏,カットファストボール,136km/h,真ん中高め,9,D,,,,,2
141,3,1,1,2,False,False,False,大瀬良 大地,R,伊藤 光,R,20202173,5回裏,シュート,138km/h,内角低め,14,I,,,,,2
142,4,1,2,2,False,False,False,大瀬良 大地,R,伊藤 光,R,20202173,5回裏,ストレート,143km/h,真ん中低め,10,K,,,,,0
143,5,2,2,2,False,False,False,大瀬良 大地,R,伊藤 光,R,20202173,5回裏,カーブ,118km/h,外角低め,7,K,,,,,0
144,6,3,2,2,False,False,False,大瀬良 大地,R,伊藤 光,R,20202173,5回裏,シュート,-,内角高め,21,B,,0.0,,True,1
145,1,0,0,0,False,False,False,平田 真吾,R,メヒア,R,20202173,6回表,スライダー,132km/h,外角低め,1,J,,,,,1
146,2,0,1,0,False,False,False,平田 真吾,R,メヒア,R,20202173,6回表,ストレート,144km/h,真ん中低め,12,I,,,,,2
147,3,0,2,0,False,False,False,平田 真吾,R,メヒア,R,20202173,6回表,スライダー,129km/h,内角低め,15,I,,,,,2
148,4,0,2,0,False,False,False,平田 真吾,R,メヒア,R,20202173,6回表,フォーク,134km/h,外角低め,7,K,,,,,2
149,5,0,2,0,False,False,False,平田 真吾,R,メヒア,R,20202173,6回表,スライダー,132km/h,ど真ん中,12,F,,,,,2
150,6,0,2,0,False,False,False,平田 真吾,R,メヒア,R,20202173,6回表,ストレート,147km/h,外角中心,1,E,,,,,0
151,7,1,2,0,False,False,False,平田 真吾,R,メヒア,R,20202173,6回表,フォーク,137km/h,真ん中低め,11,K,,0.0,,True,1
152,1,0,0,1,False,False,False,平田 真吾,R,會澤 翼,R,20202173,6回表,カーブ,109km/h,内角高め,21,A,,,,,0
153,2,1,0,1,False,False,False,平田 真吾,R,會澤 翼,R,20202173,6回表,スライダー,129km/h,内角中心,14,F,,,,,1
154,3,1,1,1,False,False,False,平田 真吾,R,會澤 翼,R,20202173,6回表,ストレート,145km/h,外角低め,2,K,,,,,0
155,4,2,1,1,False,False,False,平田 真吾,R,會澤 翼,R,20202173,6回表,スライダー,129km/h,内角低め,21,I,C,16.4,G,True,3
156,1,0,0,2,False,False,False,平田 真吾,R,堂林 翔太,R,20202173,6回表,スライダー,130km/h,外角低め,7,K,,,,,0
157,2,1,0,2,False,False,False,平田 真吾,R,堂林 翔太,R,20202173,6回表,スライダー,132km/h,外角高め,6,C,,,,,0
158,3,2,0,2,False,False,False,平田 真吾,R,堂林 翔太,R,20202173,6回表,スライダー,128km/h,内角低め,19,J,,,,,0
159,4,3,0,2,False,False,False,平田 真吾,R,堂林 翔太,R,20202173,6回表,ストレート,147km/h,ど真ん中,13,F,,,,,1
160,5,3,1,2,False,False,False,平田 真吾,R,堂林 翔太,R,20202173,6回表,スライダー,130km/h,外角低め,7,I,,,,,1
161,6,3,2,2,False,False,False,平田 真吾,R,堂林 翔太,R,20202173,6回表,スライダー,130km/h,外角低め,7,H,E,32.5,G,True,3
162,1,0,0,0,False,False,False,大瀬良 大地,R,楠本 泰史,L,20202173,6回裏,カーブ,113km/h,外角高め,14,B,,,,,0
163,2,1,0,0,False,False,False,大瀬良 大地,R,楠本 泰史,L,20202173,6回裏,シュート,136km/h,外角中心,17,F,S,40.0,G,True,3
164,1,0,0,1,False,False,False,大瀬良 大地,R,大和,R,20202173,6回裏,スライダー,123km/h,外角中心,7,E,,,,,1
165,2,0,1,1,False,False,False,大瀬良 大地,R,大和,R,20202173,6回裏,シュート,135km/h,内角低め,21,I,,,,,2
166,3,0,2,1,False,False,False,大瀬良 大地,R,大和,R,20202173,6回裏,カットファストボール,135km/h,内角高め,21,C,,0.0,,True,1
167,1,0,0,2,False,False,False,大瀬良 大地,R,梶谷 隆幸,L,20202173,6回裏,カットファストボール,135km/h,内角低め,8,I,W,34.8,G,True,3
168,1,0,0,0,False,False,False,三嶋 一輝,R,田中 広輔,L,20202173,7回表,スライダー,139km/h,内角低め,8,K,,,,,1
169,2,0,1,0,False,False,False,三嶋 一輝,R,田中 広輔,L,20202173,7回表,スライダー,139km/h,真ん中低め,12,J,P,90.0,F,False,5
170,1,0,0,0,False,True,False,三嶋 一輝,R,大瀬良 大地,R,20202173,7回表,ストレート,147km/h,外角低め,8,H,,,,,1
171,2,0,1,0,False,True,False,三嶋 一輝,R,大瀬良 大地,R,20202173,7回表,ストレート,148km/h,内角中心,16,E,U,11.0,B,True,3
172,1,0,0,1,False,False,True,三嶋 一輝,R,ピレラ,R,20202173,7回表,ストレート,147km/h,内角低め,21,K,,,,,0
173,2,1,0,1,False,False,True,三嶋 一輝,R,ピレラ,R,20202173,7回表,スライダー,138km/h,外角低め,6,I,D,24.7,G,True,3
174,1,0,0,2,False,True,False,三嶋 一輝,R,菊池 涼介,R,20202173,7回表,ストレート,149km/h,ど真ん中,13,G,,,,,1
175,2,0,1,2,False,True,False,三嶋 一輝,R,菊池 涼介,R,20202173,7回表,スライダー,139km/h,外角低め,6,K,,,,,0
176,3,1,1,2,False,True,False,三嶋 一輝,R,菊池 涼介,R,20202173,7回表,スライダー,140km/h,内角低め,17,H,,,,,2
177,4,1,2,2,False,True,False,三嶋 一輝,R,菊池 涼介,R,20202173,7回表,ストレート,148km/h,外角高め,1,B,,,,,0
178,5,2,2,2,False,True,False,三嶋 一輝,R,菊池 涼介,R,20202173,7回表,スライダー,139km/h,真ん中低め,13,H,,,,,2
179,6,2,2,2,False,True,False,三嶋 一輝,R,菊池 涼介,R,20202173,7回表,スライダー,139km/h,外角低め,1,K,,,,,0
180,7,3,2,2,False,True,False,三嶋 一輝,R,菊池 涼介,R,20202173,7回表,ストレート,150km/h,真ん中低め,12,J,K,39.5,G,True,3
181,1,0,0,0,False,False,False,大瀬良 大地,R,乙坂 智,L,20202173,7回裏,カットファストボール,135km/h,内角低め,1,K,,,,,0
182,2,1,0,0,False,False,False,大瀬良 大地,R,乙坂 智,L,20202173,7回裏,カットファストボール,134km/h,外角中心,15,E,,,,,2
183,3,1,1,0,False,False,False,大瀬良 大地,R,乙坂 智,L,20202173,7回裏,ストレート,143km/h,内角中心,4,G,T,62.0,L,False,4
184,1,0,0,0,True,False,False,大瀬良 大地,R,ソト,R,20202173,7回裏,シュート,136km/h,真ん中低め,12,J,W,54.1,P,True,3
185,1,0,0,1,True,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,7回裏,カットファストボール,134km/h,真ん中低め,13,K,,,,,0
186,2,1,0,1,True,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,7回裏,スライダー,123km/h,内角中心,3,G,U,38.0,P,True,3
187,1,0,0,2,True,False,False,大瀬良 大地,R,ロペス,R,20202173,7回裏,カットファストボール,141km/h,ど真ん中,11,F,,,,,1
188,2,0,1,2,True,False,False,大瀬良 大地,R,ロペス,R,20202173,7回裏,ストレート,141km/h,外角低め,1,H,,,,,0
189,3,1,1,2,True,False,False,大瀬良 大地,R,ロペス,R,20202173,7回裏,シュート,136km/h,内角低め,18,H,,,,,2
190,4,1,2,2,True,False,False,大瀬良 大地,R,ロペス,R,20202173,7回裏,ストレート,145km/h,外角高め,1,D,,,,,0
191,5,2,2,2,True,False,False,大瀬良 大地,R,ロペス,R,20202173,7回裏,ストレート,144km/h,外角低め,6,K,O,43.2,L,True,3
192,1,0,0,0,False,False,False,パットン,R,西川 龍馬,L,20202173,8回表,ストレート,148km/h,外角高め,21,D,,,,,0
193,2,1,0,0,False,False,False,パットン,R,西川 龍馬,L,20202173,8回表,ストレート,149km/h,真ん中低め,13,H,,,,,1
194,3,1,1,0,False,False,False,パットン,R,西川 龍馬,L,20202173,8回表,チェンジアップ,134km/h,外角低め,18,I,,,,,1
